Name,lat,long
S01B,-116.76277946680784,41.211051447317004
S01U,-116.76279949955642,41.21082262136042
S02B,-117.0082330238074,41.04570658877492
S02E,-117.0081468578428,41.04562888853252
S02U,-117.00801283121109,41.04558203369379
S03E,-117.00737295672297,41.045110216364264
S03W,-117.00746951624751,41.04517500847578
S04B,-116.96292942389846,40.95090818591416
S04U,-116.9625368155539,40.95052756369114
S05B,-116.9636269658804,40.950520019978285
S05U,-116.96320569142699,40.95013755373657
S06B,-116.77717077545822,40.99570954218507
S06U,-116.77705887705088,40.99552019499242
S07B,-116.73727937042713,41.02562204003334
S07U,-116.73735447227955,41.025422466918826
S08B,-116.73434754833579,41.03182012215257
S08U,-116.73461551778018,41.03187301196158
S09B,-116.73291868530214,41.03220141492784
S09U,-116.73297643661499,41.03244164027274
S10B,-116.73467486165464,41.0247865319252
S10U,-116.7349379695952,41.02478418499231
S11B,-116.79040336981416,40.99068618379533
S11U,-116.79026666097343,40.990536315366626
S12B,-116.81811846792698,40.98375032655895
S12U,-116.81798150762916,40.98348788917065
S13B,-116.82205595076084,40.983347073197365
S13U,-116.82192770764232,40.983156552538276
S14B,-116.82369880378246,40.98322972655296
S14U,-116.82364792563021,40.982952704653144
