Plot,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
Burn Severity,919,3569,2802,1464,1497,1176,946,342,465,722,2532,865,1014,1036
**Grasses**,,,,,,,,,,,,,,
*B. tectorum*,,,,,,,,,,,,,,
U_T2,162,87,70,437,453,5,15,40,16,35,8,225,129,176
U_B4,73,32,25,49,68,2,6,6,4,6,0,30,19,59
B_T2,48,19,4,29,1,0,1,0,15,5,3,9,11,34
B_B4,10,5,1,4,5,0,1,0,3,0,0,0,6,8
*P. secunda*,,,,,,,,,,,,,,
U_T2,17,3,1,71,6,65,502,212,175,546,143,116,141,66
U_B4,13,0,0,18,2,10,55,24,19,49,29,19,29,51
B_T2,11,0,0,2,1,3,21,0,37,32,5,28,8,63
B_B4,3,0,0,0,0,0,4,1,4,4,2,6,18,35
**Shrubs**,,,,,,,,,,,,,,
*A. tridentata*,,,,,,,,,,,,,,
U_T2,1,0,0,0,0,0,1,2,0,0,0,1,7,0
U_B4,0,0,0,0,0,0,0,3,0,0,2,0,6,1
B_T2,1,0,2,0,0,0,1,1,0,0,0,0,9,5
B_B4,0,0,0,0,0,0,0,1,0,0,0,0,1,2
**Forbs**,,,,,,,,,,,,,,
*A. desertorum*,,,,,,,,,,,,,,
U_T2,0,0,0,0,0,0,0,59,1,0,0,5,0,0
U_B4,0,0,0,0,0,0,0,8,0,0,1,1,0,0
B_T2,7,0,0,0,0,1,0,0,0,0,0,1,0,0
B_B4,2,0,0,0,0,3,0,0,0,0,0,0,0,0
*C. testiculatum*,,,,,,,,,,,,,,
U_T2,24,0,0,0,0,0,2,28,30,0,1,2,3,0
U_B4,23,0,0,0,0,0,1,12,0,0,0,0,0,0
B_T2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
B_B4,4,0,0,0,0,0,0,0,1,0,0,0,0,0
*C. parviflora*,,,,,,,,,,,,,,
U_T2,0,0,0,0,0,6,10,0,0,3,0,0,1,0
U_B4,0,0,0,0,0,3,0,4,0,1,2,0,0,0
B_T2,0,0,0,0,0,0,2,0,0,3,0,0,0,0
B_B4,0,0,0,0,0,1,1,4,0,5,0,0,0,0
*S. altissimum*,,,,,,,,,,,,,,
U_T2,0,20,23,0,0,0,0,1,0,1,0,0,0,1
U_B4,0,6,13,0,0,0,0,0,0,0,0,1,0,0
B_T2,0,1,14,1,0,0,0,0,0,0,0,0,0,15
B_B4,0,0,1,0,0,0,0,0,0,0,0,1,0,11
*M. gracilis*,,,,,,,,,,,,,,
U_T2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
U_B4,0,0,1,12,8,0,2,0,0,1,0,0,0,0
B_T2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
B_B4,0,0,0,3,7,0,0,1,1,0,0,0,0,0
**Other Species**,,,,,,,,,,,,,,
astragalusy_thing,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bristly marge,0,0,0,0,0,0,0,0,0,0,0,1,0,0
allium sp,0,0,0,0,0,0,0,0,0,0,0,0,0,1
amin,0,0,0,0,0,0,0,0,0,0,0,0,0,1
decussant_aster,0,0,0,0,0,0,0,0,0,0,0,0,2,0
dral,0,0,0,0,0,0,0,0,0,0,4,0,0,0
elel,0,0,0,0,0,0,0,1,0,0,0,0,0,0
forb,0,0,0,0,0,0,0,0,0,0,1,0,0,0
garo,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hapa,5,2,0,0,0,0,0,0,0,0,0,0,2,0
lepe,0,0,0,0,0,0,0,7,0,0,0,0,5,3
linear_glandular,0,0,0,0,0,0,0,1,0,0,0,0,0,0
misu,0,0,0,0,0,2,0,0,0,0,1,0,0,0
not_a_mint,1,0,0,0,0,0,0,0,0,0,0,0,0,0
plantago,0,0,0,0,0,0,0,3,0,0,0,0,1,0
silvery_thin,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spiny_edge_guy,0,0,0,0,0,0,0,0,1,0,0,0,0,0
uk13,0,0,0,0,0,0,0,0,0,0,2,0,0,0
unknown monocot,0,0,0,0,0,0,0,0,0,0,0,0,1,0
unknown forb,2,1,0,0,0,1,0,5,1,0,2,0,0,1
